trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-83.511564059039,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,16,5.28564377579526,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-158.42573111870246,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-73.93593927665755,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-210.09170256319638,"{0: 13, 1: 1, 2: 14, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-95.94365429264774,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-137.13900501742287,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-33.69037656310573,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-190.6327695050304,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,12,-24.887155932085598,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,16,-1.7584711218413913,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,16,-36.3564390069533,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-125.84034213381852,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,17,-52.399932206234496,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,14,10.895970485882145,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-50.375685766464336,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-146.70445838313128,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,8,7.397716404992187,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-2.7166556471023178,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-94.0039217932995,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,16.166157508657797,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-31.293461643178453,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,13.743427066664013,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,18.793238014260773,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,0,-23.278921395592388,"{0: 32, 1: 0, 2: 1, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,3,11.04402924042501,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,8,10.40624500737624,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,4.328953504384027,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,6.6808792714366385,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,11,16.60803466580301,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
