trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",30,5,-92.48054743351454,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-32.573040845656635,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-133.62891099020504,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,11,-70.4466777862732,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.01, 'e': 0.951229424500714}",30,0,-96.31480675474118,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-128.58274993617667,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-66.94760396459552,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-42.16787949763213,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-43.09042828338185,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,6,-44.995220406231766,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-81.8648886920373,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-97.50662717559574,"{0: 12, 1: 6, 2: 0, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,10,-45.14325863065174,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-94.22340396402082,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,0,-148.67216157659973,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-81.06551757107094,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-128.1309328300362,"{0: 12, 1: 1, 2: 2, 3: 4, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",35,0,-158.8302881648469,"{0: 20, 1: 5, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,4,-182.9231436348905,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 3}",1
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-22.293421670138898,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,10,-7.256234535489931,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-63.23418202594612,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",20,15,1.558555827614955,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,0,-88.55951556921036,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",25,14,-9.788764974421078,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-124.23621488611847,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",30,10,-73.57918287823166,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,0,-122.53190297489607,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,-81.45211018027203,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",30,0,-100.41730299889255,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,0,-127.97400292840352,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",25,0,-80.69627767466768,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,1,-151.8978868293877,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 2}",1
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",30,0,-202.42107364580957,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",30,12,-114.43186386372783,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 3}",1
36,False,"{'a': 0.01, 'e': 0.697676326071031}",25,0,-130.09635054492804,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",25,0,-27.970462027243393,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",25,0,-53.59483575957771,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,3,-34.9934613569236,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,0,-60.493056062756764,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",20,0,-141.83553148535108,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",30,0,-53.85527144915161,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",30,19,-15.250795728965864,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
