trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9950124791926823}",30,0,-199.81327866622345,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.005, 'e': 0.9900498337491681}",20,0,-101.48117009154349,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.005, 'e': 0.9851119396030626}",20,0,-82.93394696418825,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.005, 'e': 0.9801986733067553}",25,0,-87.10456685112938,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.005, 'e': 0.9753099120283326}",20,0,-121.76838518467487,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.005, 'e': 0.9704455335485082}",25,0,-117.75832478152205,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.005, 'e': 0.9656054162575665}",35,1,-171.51974829975248,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 4}",1
8,False,"{'a': 0.005, 'e': 0.9607894391523232}",30,0,-148.98388914659645,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.005, 'e': 0.9559974818331}",35,0,-59.84444363387762,"{0: 27, 1: 3, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.005, 'e': 0.951229424500714}",20,0,-64.68034086623686,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.005, 'e': 0.9464851479534838}",20,0,-86.16043470024616,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.005, 'e': 0.9417645335842487}",25,0,-63.80898702132463,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.005, 'e': 0.9370674633774034}",20,0,-125.8781065729504,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.005, 'e': 0.9323938199059483}",20,0,-78.2170993702724,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.005, 'e': 0.9277434863285529}",20,13,-6.5735353666786995,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.005, 'e': 0.9231163463866358}",30,0,-253.99621868504497,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
17,False,"{'a': 0.005, 'e': 0.9185122844014574}",25,0,-117.65410867483766,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.9139311852712282}",20,0,-108.94439548032034,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
