trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.66124772027536,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.62813786279398,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-98.98849127400261,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-65.33553163362305,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.14669723098567,"{0: 13, 1: 1, 2: 5, 3: 4, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.85619566704149,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.8404968247001,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-223.44317967874187,"{0: 13, 1: 3, 2: 10, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.60607388304905,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-210.00183456264264,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.76151769581483,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.733084962061824,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.55301954816447,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-227.60953893165816,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.27586088358625,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.54729413318921,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.3791815978822,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,3,-82.22193401071938,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.88220752120654,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.51633853441274,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-129.3917779995665,"{0: 24, 1: 7, 2: 1, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.05681111486163,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.69621412778355,"{0: 11, 1: 8, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-75.21552919666462,"{0: 23, 1: 5, 2: 6, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,2,-121.82881749165746,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.05275343979767,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.06109193553874,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.4271412805256,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.25796777477197,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.77463578072005,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
